,Time,TweetUrl,Content,English,Covid tweets,Sub-category,UserID,UserName,RetweetNum,LikeNum,UserHandle,UserUrl,Location,UserID_PostID,,
1251480175734403072,Sat Apr 18 11:58:19 +0000 2020,https://twitter.com/@RTErdogan/status/1251480175734403072,"Cumhurbaşkanımız @RTErdogan, İstanbul Sancaktepe ve Atatürk Havalimanı’nda yapımı devam eden hastaneler ile Başakşehir Şehir Hastanesi’ni havadan inceledi. https://t.co/AknHR9bIVx",,,,1036747176423157762,Recep Tayyip Erdoğan,4077,25421,@RTErdogan,https://twitter.com/@RTErdogan,,"@RTErdogan,1251480175734403072",,~
1251485037813514241,Sat Apr 18 12:17:39 +0000 2020,https://twitter.com/@RTErdogan/status/1251485037813514241,"RT @RTEdijital: Cumhurbaşkanımız @RTErdogan, İstanbul Sancaktepe ve Atatürk Havalimanı’nda yapımı devam eden hastaneler ile Başakşehir Şehi…",,,,68034431,Recep Tayyip Erdoğan,4077,0,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1251485037813514241",,~
1252166003200491520,Mon Apr 20 09:23:33 +0000 2020,https://twitter.com/@RTErdogan/status/1252166003200491520,İstanbul Başakşehir Şehir Hastanesi Açılışı ve Yerli Solunum Cihazı Teslim Töreni https://t.co/VxzjFOOoZs,,,,68034431,Recep Tayyip Erdoğan,15522,61583,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1252166003200491520",,~
1252175667917205505,Mon Apr 20 10:01:58 +0000 2020,https://twitter.com/@RTErdogan/status/1252175667917205505,RT @RTErdogan: İstanbul Başakşehir Şehir Hastanesi Açılışı ve Yerli Solunum Cihazı Teslim Töreni https://t.co/VxzjFOOoZs,,,,68034431,Recep Tayyip Erdoğan,15522,0,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1252175667917205505",,~
1252178153558196226,Mon Apr 20 10:11:50 +0000 2020,https://twitter.com/@RTErdogan/status/1252178153558196226,"RT @RTErdogan: Şehir Hastaneleri ile ülkemize her türlü imkânı içerisinde barındıran modern sağlık merkezleri kazandırdık.
  
  2.682 yataklı İ…",,,,68034431,Recep Tayyip Erdoğan,12931,0,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1252178153558196226",,~
1252220497007464450,Mon Apr 20 13:00:06 +0000 2020,https://twitter.com/@RTErdogan/status/1252220497007464450,"Dünyanın Koronavirüs salgınıyla adeta kavrulduğu günlerde Şehir Hastanelerimizi açıyor olmamız oldukça önemlidir.
  
  Bugün ilk etabını hizmete aldığımız Başakşehir Şehir Hastanemiz Milletimize hayırlı uğurlu olsun. https://t.co/o3f2kXyVaU",,,,68034431,Recep Tayyip Erdoğan,9728,45982,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1252220497007464450",,~
1252269499237249024,Mon Apr 20 16:14:49 +0000 2020,https://twitter.com/@RTErdogan/status/1252269499237249024,Kabine Toplantısı Sonrası Millete Sesleniş https://t.co/DjKLZnjmMu,,,,68034431,Recep Tayyip Erdoğan,9083,45538,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1252269499237249024",,~
1252311710519775240,Mon Apr 20 19:02:33 +0000 2020,https://twitter.com/@RTErdogan/status/1252311710519775240,"Unutmayınız, bu salgının üstesinden ancak 83 milyon hep birlikte hareket edersek gelebiliriz.
  
  Birliğimize, beraberliğimize, kardeşliğimize sarıldığımız ölçüde geleceğimize güvenle bakabiliriz. https://t.co/EIgPr7AXHV",,,,68034431,Recep Tayyip Erdoğan,8291,40274,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1252311710519775240",,~
1252326171338895361,Mon Apr 20 20:00:00 +0000 2020,https://twitter.com/@RTErdogan/status/1252326171338895361,"Sağlık alanında yaptığımız reformlarla hem altyapıyı hem sistemi güçlendirdik. Bununla kalmadık, hayalimiz olan şehir hastanelerini kurmaya başladık.
  
  Yeni yatırımlarla, yeni eserlerle, yeni hizmetlerle ülkemizi hep bir adım daha yükseğe çıkartacağız. https://t.co/b5YrlRrEKq",,,,68034431,Recep Tayyip Erdoğan,12788,59567,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1252326171338895361",,~
1252547524008775681,Tue Apr 21 10:39:35 +0000 2020,https://twitter.com/@RTErdogan/status/1252547524008775681,"RT @RTErdogan: Sağlık alanında yaptığımız reformlarla hem altyapıyı hem sistemi güçlendirdik. Bununla kalmadık, hayalimiz olan şehir hastan…",,,,68034431,Recep Tayyip Erdoğan,12788,0,@RTErdogan,https://twitter.com/@RTErdogan,"Ankara, Turkey","@RTErdogan,1252547524008775681",,~
